Player,Sim,1,2,3,4,5,6,7,8
Carlos Delfino,,4.8,4.0,3.5,3.5,2.9,2.4,1.0,0.5
Henry Bibby,93.6,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1.0
Allen Leavell,90.9,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6
John Williamson,89.4,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3
Maurice Evans,89.2,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.1
O.J. Mayo,88.2,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1
John Long,87.6,5.3,4.7,3.6,3.6,3.3,2.4,2.0,0.2
Sedale Threatt,87.1,4.6,4.6,3.4,2.7,2.5,2.1,1.3,0.1
C.J. Watson,87.1,4.0,3.8,3.3,3.2,3.1,2.6,2.1,0.4
Randy Foye,87.0,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1
Vernon Maxwell,87.0,5.9,3.9,3.9,3.5,2.8,1.9,1.5,0.9
