Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Career,,,NBA,,656,163,13578,10.3,23.6,.435,2.8,8.1,.341,7.5,15.5,.484,3.1,4.0,.772,3.1,8.6,11.7,2.1,1.3,1.4,2.5,5.6,26.4,,105,109
5 seasons,,DET,NBA,,256,27,4966,9.9,23.6,.422,3.7,10.4,.355,6.2,13.1,.475,2.5,3.4,.747,2.1,8.5,10.6,1.8,1.4,1.6,2.1,5.8,26.1,,106,109
3 seasons,,MIL,NBA,,193,95,4908,10.8,24.3,.447,1.8,5.6,.327,9.0,18.7,.483,4.2,5.2,.817,3.8,9.1,12.9,2.7,1.1,1.1,3.2,5.7,27.7,,105,109
2 seasons,,DAL,NBA,,126,5,1343,10.4,26.0,.399,4.9,14.8,.331,5.5,11.2,.490,1.6,2.2,.712,2.0,9.3,11.4,1.6,1.2,1.4,2.2,5.1,27.2,,98,105
1 season,,TOR,NBA,,81,36,2361,9.7,21.0,.463,1.6,4.8,.327,8.1,16.2,.503,2.5,3.6,.706,4.0,7.6,11.6,2.0,1.3,1.4,2.2,5.5,23.5,,107,111
