Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2013-14,23,HOU,NBA,SF,7,0,34,8.8,20.5,.429,5.9,16.1,.364,2.9,4.4,.667,0.0,0.0,,2.9,4.4,7.3,0.0,2.9,0.0,1.5,4.4,23.5,,112,106
2014-15,24,PHI,NBA,SF,70,49,1956,7.7,19.4,.396,4.3,11.4,.374,3.4,7.9,.426,4.6,5.6,.820,1.7,6.4,8.1,2.7,2.5,0.8,3.3,4.8,24.2,,104,104
2015-16,25,PHI,NBA,SF,67,49,1903,7.1,18.3,.385,4.4,12.4,.353,2.7,5.9,.452,3.6,4.6,.791,1.7,9.1,10.8,2.5,2.7,1.0,3.7,6.0,22.1,,97,106
2016-17,26,PHI,NBA,SF,44,44,1361,6.1,16.0,.381,3.0,9.5,.312,3.1,6.5,.483,2.7,3.4,.800,2.2,7.5,9.7,2.6,2.8,1.4,3.1,4.7,17.9,,96,104
