Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,56,685,,,,3%,97%,-5.3,-5.3,6,7,25,63,3,16,0,27,28,5,11
3 seasons,,IND,NBA,,44,563,,,,,100%,-5.8,-7.3,6,7,22,40,2,13,0,27,21,3,7
2 seasons,,DAL,NBA,,10,103,,,,16%,84%,-1.0,+5.8,0,0,1,23,1,1,0,0,6,2,4
1 season,,SAS,NBA,,2,19,,,,,100%,-10.9,-6.8,0,0,2,0,0,2,0,0,1,0,0
