Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Ian Mahinmi,,6.2,3.4,3.3,2.3,2.1,1.8,0.7,0.2,,,,,
Kosta Koufos,86.1,6.5,3.5,3.5,3.3,2.7,1.3,0.2,0.0,,,,,
Mark Blount,85.5,6.5,2.8,2.8,1.9,1.7,1.7,0.7,0.7,-0.1,,,,
Jim Davis,84.3,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,,,,,
Chris Kaman,82.9,6.1,3.6,3.3,2.9,2.4,2.1,1.6,0.8,0.7,0.6,0.5,0.1,0.0
Dale Schlueter,81.6,6.3,4.4,3.0,2.0,1.6,1.2,1.1,1.1,0.1,0.0,,,
Oliver Miller,81.2,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0.0,,,,
Randy Breuer,80.7,5.1,4.5,3.0,2.4,2.0,1.7,1.0,0.9,0.3,0.1,0.0,,
Joel Przybilla,80.7,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.5,0.3,0.3,0.1,0.1,0.0
Mikki Moore,80.6,5.7,4.6,2.8,2.6,2.2,2.1,1.0,0.6,0.6,0.1,0.1,0.1,0.1
Blair Rasmussen,80.5,5.2,4.2,3.3,3.0,1.8,1.7,0.0,-0.1,,,,,
