Player,Sim,1,2,3,4,5,6,7,8
Ian Mahinmi,,6.2,3.4,3.3,2.3,2.1,1.8,0.7,0.2
Chris Kaman,89.5,6.1,3.6,2.9,2.4,2.1,0.8,0.6,0.0
Kosta Koufos,86.1,6.5,3.5,3.5,3.3,2.7,1.3,0.2,0.0
Mark Blount,85.9,6.5,2.8,2.8,1.9,1.7,1.7,0.7,0.7
Oliver Miller,84.6,5.3,3.8,3.4,3.1,1.8,1.6,0.9,0.0
Jim Davis,84.3,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2
Dale Schlueter,81.9,6.3,4.4,3.0,2.0,1.6,1.2,1.1,1.1
Randy Breuer,80.7,5.1,4.5,3.0,2.4,2.0,1.0,0.9,0.3
Blair Rasmussen,80.5,5.2,4.2,3.3,3.0,1.8,1.7,0.0,-0.1
Otto Moore,80.3,5.0,4.7,3.5,2.4,2.3,1.8,1.3,0.9
Kevin Kunnert,80.0,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2
