Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Al Horford,,10.9,10.1,9.4,8.8,8.7,6.8,5.5,2.8,1.3,,,,
Calvin Natt,89.3,10.2,9.8,9.3,8.4,7.1,6.1,4.2,1.1,0.5,0.3,0.0,,
George Yardley,87.5,12.3,10.0,9.0,7.6,7.5,6.8,5.3,,,,,,
Rudy Tomjanovich,87.3,12.8,10.4,10.1,8.4,7.3,6.9,6.2,3.6,2.1,1.7,1.0,,
Kiki Vandeweghe,86.8,11.0,10.8,10.3,9.9,8.4,7.7,5.7,3.8,2.9,2.0,1.2,1.1,0.8
Roger Brown,86.7,13.3,10.9,10.0,9.3,7.3,6.5,6.1,1.8,,,,,
Larry Kenon,86.7,10.0,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.9,0.2,,,
George McGinnis,86.3,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3,1.9,1.7,0.4,,
Larry Johnson,85.4,10.1,9.6,8.9,8.5,7.7,6.9,5.1,4.9,4.1,3.9,,,
Kevin Love,84.3,14.3,11.4,10.0,8.7,8.5,5.3,4.9,1.1,,,,,
LaMarcus Aldridge,83.8,11.1,10.1,9.5,8.8,8.6,7.5,7.2,7.0,6.2,3.4,,,
