Player,Sim,1,2,3,4,5,6,7,8,9
Al Horford,,10.9,10.1,9.4,8.8,8.7,6.8,5.5,2.8,1.3
Lou Hudson,94.6,11.1,10.1,9.7,9.3,8.8,7.9,4.9,2.2,0.8
Alex English,93.6,10.3,9.5,8.9,8.3,8.2,7.0,5.3,4.0,1.2
Glen Rice,92.9,10.8,10.2,10.0,9.3,8.3,7.9,6.3,4.4,1.4
Chris Webber,92.7,11.0,10.7,9.3,8.6,8.3,7.8,4.0,3.6,1.9
Rasheed Wallace,91.7,11.0,9.7,9.3,8.5,7.6,6.4,6.2,5.0,2.3
Kiki Vandeweghe,90.7,11.0,10.8,10.3,9.9,8.4,7.7,3.8,2.0,1.2
Chet Walker,90.6,10.9,10.1,9.8,9.8,8.2,7.8,5.4,5.3,3.7
Billy Cunningham,90.1,11.9,10.3,10.0,9.0,8.3,6.8,6.4,5.0,3.5
Detlef Schrempf,89.6,10.4,9.8,9.0,8.4,8.1,4.4,4.0,3.6,0.8
Rudy Tomjanovich,89.5,12.8,10.4,10.1,8.4,7.3,6.9,6.2,1.7,1.0
