Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Cuttino Mobley,,8.2,7.6,6.9,5.7,5.3,5.2,4.6,4.4,2.3,2.1,-0.1,,,
Norm Van Lier,91.3,7.7,7.7,6.0,5.6,5.5,5.2,3.8,3.2,2.1,1.1,,,,
Alvin Robertson,90.8,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,,,,
Brian Taylor,89.5,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,,,,
Michael Adams,88.9,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,,,
John Starks,88.6,7.5,6.4,6.2,5.8,5.8,5.7,4.6,3.0,2.4,2.1,0.6,0.0,-0.1,
Latrell Sprewell,88.6,8.1,8.0,6.6,5.7,5.5,5.1,4.0,3.2,3.0,2.8,2.0,1.9,0.4,
Allan Houston,88.0,8.6,7.5,7.2,7.1,6.1,4.7,4.7,3.8,3.1,2.9,0.7,-1.2,,
Muggsy Bogues,88.0,8.6,6.7,6.4,5.9,5.0,4.8,4.8,3.7,2.6,2.3,1.7,1.7,0.0,-0.1
Mike Newlin,87.4,8.5,6.5,6.1,5.9,5.8,5.2,4.7,2.9,1.8,1.6,1.5,,,
Damon Stoudamire,87.4,7.6,6.7,6.6,6.1,5.9,5.7,4.7,4.3,3.6,1.7,1.6,1.1,-0.1,
