Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Samaki Walker,,5.3,2.1,2.0,1.9,1.4,0.7,0.6,0.5,0.0,-0.1,
James Bailey,82.6,4.9,2.9,2.3,2.0,1.9,1.0,0.6,0.4,0.3,,
Tim Perry,82.3,5.7,2.6,2.0,1.4,1.4,1.2,0.3,-0.1,,,
Larry Krystkowiak,82.3,6.3,2.6,2.1,1.8,1.4,1.0,0.3,0.1,0.1,,
Ed Nealy,82.0,4.7,2.0,1.9,1.5,1.5,1.3,1.2,0.5,0.4,0.3,
Alex Hannum,79.8,5.1,2.1,1.7,1.6,0.5,0.4,,,,,
Travis Outlaw,79.4,5.3,3.2,2.3,1.4,1.4,0.9,0.9,0.8,0.3,0.0,-0.1
Wally Walker,79.0,3.5,2.1,2.0,1.9,1.8,0.9,0.5,0.1,,,
Ron Behagen,76.1,4.3,2.4,2.2,2.0,1.8,0.2,0.1,,,,
Ed Manning,75.9,4.3,2.2,2.2,1.7,1.5,1.4,1.4,0.2,-0.3,,
Etan Thomas,75.6,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1,,
