Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Kosta Koufos,,6.5,3.5,3.5,3.3,2.7,1.3,0.2,0.0,,,,,
Ian Mahinmi,86.1,6.2,3.4,3.3,2.3,2.1,1.8,0.7,0.2,,,,,
Tim McCormick,83.7,6.0,4.6,3.9,3.8,2.0,1.1,0.2,-0.1,,,,,
Jack Nichols,83.3,6.7,4.4,4.3,4.1,2.5,1.6,1.0,0.3,,,,,
Roy Tarpley,81.5,7.8,3.5,3.1,2.8,2.0,0.6,,,,,,,
Randy Denton,81.5,5.5,4.3,3.9,3.1,3.0,0.4,,,,,,,
Oliver Miller,79.1,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0.0,,,,
Blair Rasmussen,79.1,5.2,4.2,3.3,3.0,1.8,1.7,0.0,-0.1,,,,,
John Gianelli,78.7,5.5,4.4,3.6,3.2,3.0,2.5,1.2,-0.4,,,,,
Chris Kaman,78.2,6.1,3.6,3.3,2.9,2.4,2.1,1.6,0.8,0.7,0.6,0.5,0.1,0.0
Tom Burleson,78.2,8.2,4.4,4.3,3.3,2.7,0.2,-0.1,,,,,,
