Player,Sim,1,2,3,4
Mike Scott,,3.2,2.7,2.6,0.9
Don Reid,93.2,2.9,2.8,2.7,1.0
Glen Gondrezick,93.2,3.1,3.1,2.7,0.9
E.C. Coleman,90.2,3.2,2.6,2.5,1.7
Tom Hawkins,88.9,3.2,2.9,2.1,1.2
Maurice Harkless,88.7,2.9,2.8,2.4,0.3
Don Collins,87.8,3.5,3.4,2.6,0.9
Tom McMillen,87.6,3.9,2.9,2.5,0.8
Chase Budinger,87.1,3.4,3.1,3.0,0.7
Lew Hitch,85.7,3.3,2.7,2.2,
Charles Jones,85.2,3.2,2.8,2.2,0.0
