Player,Sim,1,2,3
Darius Miller,,0.8,0.5,-0.1
Ansu Sesay,90.3,0.8,0.5,-0.1
Jackie Moore,87.7,0.9,0.5,
Reggie Slater,86.1,0.8,0.4,-0.1
Antonio Lang,83.9,0.8,0.7,-0.1
Eddie Lee Wilkins,78.6,0.8,0.3,-0.1
Cartier Martin,74.7,0.8,0.4,0.1
Randy White,73.9,0.7,0.4,-0.2
Bob Thornton,72.9,0.9,0.4,-0.3
Darnell Jackson,72.7,0.8,0.7,-0.3
Michael Ruffin,71.2,1.0,0.6,0.0
