Player,Sim,1,2,3
Mike Muscala,,1.9,1.6,0.2
Jon Brockman,95.5,1.9,1.7,0.1
Anthony Roberts,93.2,1.9,1.7,0.1
Solomon Jones,92.8,1.9,1.6,0.0
Terry Driscoll,91.8,1.7,1.7,0.3
Jon Leuer,90.3,2.0,1.4,0.2
Luke Walton,89.1,2.0,1.6,0.5
Kenny Battle,88.5,1.9,1.3,0.3
Sam Mack,88.4,1.9,1.3,0.3
Chucky Brown,88.4,2.2,1.6,0.3
Tony Brown,87.7,1.8,1.3,0.2
