Player,Sim,1,2,3,4,5,6,7,8,9,10
Al-Farouq Aminu,,4.0,3.3,3.1,3.1,1.4,0.7,,,,
Craig Smith,94.8,3.9,3.5,3.1,3.0,1.5,1.0,,,,
Kenny Gattison,90.9,4.5,3.5,3.2,3.0,1.5,0.7,0.5,0.1,0.0,
Jumaine Jones,86.3,3.7,3.3,3.0,2.9,2.3,0.1,0.0,-0.2,,
Glen Gondrezick,85.4,3.6,3.1,3.1,2.7,2.5,0.9,,,,
Willie Norwood,85.0,3.8,3.5,3.3,3.0,2.6,1.1,0.5,,,
Nick Weatherspoon,84.4,3.7,3.6,2.6,2.4,2.1,0.6,0.1,,,
Lionel Simmons,84.3,4.3,3.8,3.8,2.7,1.1,0.9,0.3,,,
Jonas Jerebko,83.8,4.4,3.5,3.3,2.4,2.0,1.4,,,,
George Johnson,82.8,3.8,3.2,2.5,2.2,1.0,0.7,0.6,0.0,,
Ronny Turiaf,82.4,4.2,3.6,3.2,3.1,1.5,1.4,1.1,0.8,0.4,0.0
