Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Randy Livingston,,1.5,0.4,0.3,0.2,0.1,0.1,0.0,0.0,0.0,-0.1,-0.1
Jordan Hamilton,70.5,1.6,0.8,0.3,0.2,0.1,,,,,,
Terence Stansbury,68.9,1.5,0.6,0.3,,,,,,,,
Ray McCallum,65.5,1.4,0.4,0.3,,,,,,,,
Eddie Gill,64.8,1.1,0.3,0.2,0.1,0.1,0.1,0.0,,,,
Gary Phillips,64.4,1.7,0.3,0.2,0.2,-0.1,,,,,,
Felipe Lopez,63.1,1.9,0.5,0.4,0.3,,,,,,,
Vonteego Cummings,62.9,1.3,0.6,0.2,,,,,,,,
Robert Hawkins,58.1,1.9,0.6,0.3,0.1,,,,,,,
Jerry Rullo,55.5,1.5,0.6,0.0,-0.1,,,,,,,
Bobby Washington,54.3,1.5,0.7,0.0,,,,,,,,
