Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Lou Williams,,6.6,6.1,5.2,5.1,4.7,4.4,3.4,2.6,2.4,1.1,-0.1
Jameer Nelson,92.8,6.6,6.0,5.6,5.0,4.9,4.0,3.5,2.8,2.5,2.1,1.4
Tyrone Corbin,92.4,6.8,6.7,5.6,5.4,5.4,4.4,3.0,2.5,2.1,1.2,0.1
Brian Winters,91.0,6.2,6.0,5.5,5.1,5.0,4.2,3.5,2.1,1.1,,
J.J. Redick,89.9,6.7,6.7,6.5,5.2,4.5,4.5,3.0,2.3,1.7,0.5,
J.R. Smith,89.0,6.7,5.8,5.0,3.7,3.7,3.7,3.7,2.7,2.5,1.2,0.2
Vinnie Johnson,88.4,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.2,2.7,2.3,0.2
John Lucas,87.8,7.9,5.9,5.7,5.2,4.8,4.3,4.3,3.9,3.2,1.3,0.4
Aaron McKie,87.3,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2.0,2.0,1.6,1.4
Antonio Daniels,87.1,6.8,6.6,5.9,5.8,5.3,4.5,4.3,3.6,2.3,1.8,-1.3
Johnny Davis,86.8,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3.0,2.5,1.7,
