Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Lou Williams,,6.6,6.1,5.2,5.1,4.7,4.4,3.4,2.6,2.4,1.1,-0.1,,,
Jameer Nelson,92.2,6.6,6.0,5.6,5.0,4.9,4.0,3.5,2.8,2.5,2.1,1.4,0.5,,
Brian Winters,91.0,6.2,6.0,5.5,5.1,5.0,4.2,3.5,2.1,1.1,,,,,
J.J. Redick,89.9,6.7,6.7,6.5,5.2,4.5,4.5,3.0,2.3,1.7,0.5,,,,
Craig Ehlo,88.9,6.5,6.2,5.9,4.6,3.8,3.4,3.3,3.1,2.1,1.2,0.5,0.3,0.2,0.0
Aaron McKie,87.1,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2.0,2.0,1.6,1.4,0.1,0.1,
Johnny Davis,86.8,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3.0,2.5,1.7,,,,
J.R. Smith,86.6,6.7,5.8,5.5,5.0,3.7,3.7,3.7,3.7,2.7,2.5,1.2,0.2,,
K.C. Jones,86.2,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3.0,0.8,,,,,
Slater Martin,85.8,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,2.2,1.4,,,
Al Attles,85.8,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8,0.4,,,
