Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Career,,,NBA,,41,0,1007,7.9,21.8,.362,1.7,7.0,.238,6.2,14.8,.420,6.3,8.1,.780,0.5,4.0,4.6,5.2,2.2,0.1,3.0,3.4,23.8,,95,107
4 seasons,,PHI,NBA,,30,0,772,8.0,21.7,.367,1.6,6.6,.237,6.4,15.1,.425,6.2,8.2,.750,0.6,3.8,4.4,5.9,1.9,0.1,2.8,3.1,23.7,,97,106
1 season,,ATL,NBA,,7,0,133,7.6,19.9,.380,2.0,6.4,.313,5.6,13.5,.412,6.0,6.4,.938,0.0,6.4,6.4,3.2,2.8,0.4,5.2,4.0,23.1,,88,101
1 season,,TOR,NBA,,4,0,102,8.0,25.4,.314,2.0,10.5,.190,6.0,14.9,.400,7.5,9.0,.833,1.0,2.5,3.5,2.5,3.0,0.0,1.5,4.5,25.4,,91,114
