Player,Sim,1,2,3,4,5,6,7,8,9
Will Bynum,,1.9,1.7,1.5,1.3,1.0,-0.1,-0.2,-0.2,
Jerry Fleishman,78.3,2.2,2.1,1.6,1.3,0.6,,,,
Med Park,78.2,1.9,1.9,1.8,1.6,0.4,,,,
Elston Turner,77.7,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2,
Juan Dixon,77.2,2.0,1.7,1.4,1.2,0.4,0.1,-0.5,,
Joe Hassett,76.1,2.0,1.6,1.4,0.9,0.5,0.0,,,
Lee Mayberry,75.8,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,,
Alec Burks,74.6,3.2,1.7,1.5,1.5,1.0,,,,
Dave Wohl,74.1,2.1,1.7,1.4,1.0,0.2,0.0,-0.2,,
Tony Smith,71.3,1.7,1.5,1.3,1.3,0.6,0.5,0.1,-0.1,-0.2
Em Bryant,70.9,2.1,2.0,1.9,1.7,1.1,0.5,0.1,-0.7,
