Player,Sim,1,2,3,4,5,6,7,8,9,10
Brandon Knight,,4.5,2.8,1.7,1.3,1.1,,,,,
Al Smith,87.2,4.5,3.3,1.8,0.9,0.6,,,,,
Ron Lee,86.5,3.8,2.8,1.6,1.4,0.8,0.3,,,,
Pep Saul,86.1,4.2,2.8,1.5,0.8,0.6,,,,,
Larry Wright,85.2,3.5,2.7,1.8,1.4,1.2,0.0,,,,
Al Skinner,84.0,4.9,3.3,2.1,1.8,1.2,0.0,,,,
Lee Winfield,83.5,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,,,
Sonny Hertzberg,83.5,4.0,2.5,2.3,1.4,0.7,,,,,
Roger Mason,82.9,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1
Johnny Neumann,80.8,4.6,2.0,1.6,0.8,0.6,0.0,-0.1,,,
Slick Watts,80.7,4.7,3.3,2.7,1.2,1.2,0.8,,,,
