Player,Sim,1,2,3,4,5,6,7,8,9
Kawhi Leonard,,13.7,8.6,7.7,6.2,5.5,,,,
Arnie Johnson,82.1,9.1,8.7,7.5,7.2,6.7,,,,
Anthony Davis,81.4,14.0,10.4,7.2,6.1,,,,,
Paul George,80.0,10.8,9.2,9.0,6.0,2.4,0.0,,,
Willie Wise,75.3,11.2,10.5,8.9,7.5,6.7,2.5,0.7,0.6,0.0
Goose Ligon,73.9,9.9,9.7,6.5,6.3,2.4,1.0,0.3,,
Kenny Sears,73.8,13.3,10.0,8.8,8.0,6.2,4.0,3.7,1.8,
John Beasley,72.9,8.9,8.1,8.0,6.8,3.3,2.0,0.8,,
Fred Schaus,71.5,8.5,8.4,6.8,4.0,3.7,,,,
Serge Ibaka,70.7,9.6,9.4,7.6,6.2,5.6,5.5,3.7,,
Blake Griffin,69.2,12.2,10.6,9.8,9.2,9.0,3.8,,,
