Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Metta World Peace,,8.0,7.2,6.7,5.5,5.3,4.7,4.6,4.4,3.7,2.7,2.6,2.3,1.9,1.3,0.3,0.1,,
Grant Long,91.1,8.4,7.7,6.6,6.5,5.1,5.0,4.9,4.6,2.7,2.6,2.4,1.6,1.4,0.4,0.2,,,
Armen Gilliam,90.6,7.6,6.8,6.7,6.6,5.3,5.1,4.6,4.5,4.1,2.8,1.5,1.3,1.2,,,,,
Derrick McKey,89.5,7.4,7.4,6.6,6.4,6.3,5.7,5.0,4.1,3.9,2.1,1.8,1.6,1.6,1.4,0.4,,,
Joe Smith,89.4,6.8,6.3,6.1,5.5,4.7,4.4,4.4,4.1,3.7,3.0,2.8,2.7,2.6,2.3,0.9,-0.1,,
Antonio Davis,89.3,7.4,7.2,6.5,6.1,6.0,5.2,5.0,4.0,3.9,3.8,2.2,2.0,0.3,,,,,
Kurt Thomas,89.1,8.2,6.5,5.4,5.2,5.2,5.0,4.5,4.1,3.8,3.3,3.2,2.9,2.5,2.1,1.1,1.1,0.5,-0.2
Clarence Weatherspoon,88.8,8.6,6.0,5.8,5.5,5.1,5.0,4.5,4.0,3.6,3.5,3.3,2.6,1.1,,,,,
Eddie Johnson,88.5,7.4,6.5,5.6,5.6,5.5,5.3,4.8,4.3,4.0,3.9,3.0,2.4,2.2,1.8,1.8,1.6,-0.1,
Mike Miller,88.4,7.4,7.0,5.3,5.0,4.8,4.5,4.2,4.0,3.9,3.9,3.9,2.6,1.8,1.6,0.4,0.3,,
Maurice Lucas,88.3,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,4.0,3.5,2.5,2.4,2.4,2.3,,,,
