Steals Per Game
2000-01 NBA 2.0 (7th)
2001-02 NBA 2.6 (2nd)
2002-03 NBA 2.3 (2nd)
2003-04 NBA 2.1 (3rd)
2006-07 NBA 2.1 (2nd)
2007-08 NBA 2.3 (2nd)
Active 1.7 (4th)
Career NBA 1.7 (37th)
Career 1.7 (39th)
