Player,Sim,1,2,3,4,5,6,7
Jeff Teague,,7.7,6.1,6.0,5.9,5.2,1.7,0.6
John Starks,92.5,7.5,6.4,6.2,5.8,5.7,2.4,0.0
David Wesley,90.9,6.3,6.1,6.1,5.8,4.8,2.6,0.6
Mike Newlin,90.6,8.5,5.9,5.8,5.2,4.7,1.8,1.6
Danny Ainge,90.2,8.6,6.8,6.7,6.6,5.2,1.8,0.5
Don Chaney,88.5,8.7,6.3,5.9,5.8,5.1,-0.1,-0.5
John Lucas,88.0,7.9,5.9,5.2,4.8,3.9,1.3,0.4
Steve Jones,87.6,8.2,7.1,5.6,5.4,4.4,2.7,1.1
Norm Van Lier,87.5,7.7,7.7,6.0,5.6,5.2,3.2,2.1
George Thompson,86.5,7.7,6.7,6.5,5.6,2.7,1.8,
Jerry Sloan,85.8,7.2,6.5,6.4,6.0,2.6,1.9,1.4
