Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2002-03,22,GSW,NBA,SF,82,1305,,,37%,61%,2%,+2.0,+4.6,40,28,18,62,,8,,230,35,7,35
2003-04,23,GSW,NBA,SF,75,2336,,3%,89%,7%,,-4.1,-8.3,74,43,26,95,,12,,484,60,13,31
2004-05,24,GSW,NBA,SF,79,2570,,1%,74%,24%,1%,-1.5,+2.6,58,42,32,98,,14,,461,79,15,45
2005-06,25,GSW,NBA,SF,81,2578,,,69%,30%,,-1.2,+1.8,60,30,30,100,,19,,553,104,21,27
2006-07,26,TOT,NBA,SG-PF,82,2580,,46%,18%,33%,3%,-2.3,-0.8,68,35,46,0,,0,,504,0,22,30
2006-07,26,GSW,NBA,PF,39,1051,,,19%,72%,8%,-1.6,-1.4,33,14,24,43,,6,,263,34,10,17
2006-07,26,IND,NBA,SG,43,1529,,77%,17%,5%,,-2.7,+0.5,35,21,22,53,,13,,241,63,12,13
2007-08,27,IND,NBA,SG,82,2953,,47%,26%,28%,,+0.5,+8.3,79,60,51,101,,24,,660,164,33,61
2008-09,28,IND,NBA,SG,18,495,,19%,37%,41%,2%,-2.8,-1.9,26,7,5,24,,1,,101,29,7,8
2009-10,29,IND,NBA,SF,67,1486,,,48%,51%,,-1.9,+2.0,42,18,12,61,,4,,236,70,20,19
2010-11,30,IND,NBA,SG,61,1683,,57%,18%,25%,,+1.7,+5.5,42,13,14,56,,4,,244,50,6,13
2011-12,31,MIL,NBA,SF,55,1445,,,68%,30%,2%,+5.2,+9.1,34,11,13,51,,6,,257,58,10,15
2012-13,32,MIL,NBA,SF,75,1943,,,77%,23%,,+1.1,+5.9,52,18,20,61,,9,6,320,50,13,19
2013-14,33,CHI,NBA,SF,82,2584,,,98%,2%,,+3.2,+3.2,70,19,19,72,12,12,1,403,54,6,22
2014-15,34,CHI,NBA,SF,63,1838,,,98%,2%,,+5.3,+3.8,30,20,9,55,4,6,1,256,30,5,15
2015-16,35,CHI,NBA,SF,31,703,,,91%,9%,,-4.8,-3.8,9,13,0,34,2,0,2,89,16,5,11
2016-17,36,TOT,NBA,SF,35,583,,,43%,54%,3%,-0.7,+0.1,4,13,0,0,0,0,0,88,0,0,7
2016-17,36,CLE,NBA,SF,23,366,,,29%,66%,5%,-2.5,-9.1,3,8,0,19,4,0,0,54,7,0,4
2016-17,36,ATL,NBA,SF,12,217,,,67%,33%,,-0.7,+0.1,1,5,0,10,0,0,3,34,3,0,3
