All-League
1997-98 All-Defensive (2nd)
1997-98 All-NBA (1st)
1997-98 All-Rookie (1st)
1998-99 All-Defensive (1st)
1998-99 All-NBA (1st)
1999-00 All-Defensive (1st)
1999-00 All-NBA (1st)
2000-01 All-Defensive (1st)
2000-01 All-NBA (1st)
2001-02 All-Defensive (1st)
2001-02 All-NBA (1st)
2002-03 All-Defensive (1st)
2002-03 All-NBA (1st)
2003-04 All-Defensive (2nd)
2003-04 All-NBA (1st)
2004-05 All-Defensive (1st)
2004-05 All-NBA (1st)
2005-06 All-Defensive (2nd)
2005-06 All-NBA (2nd)
2006-07 All-Defensive (1st)
2006-07 All-NBA (1st)
2007-08 All-Defensive (1st)
2007-08 All-NBA (2nd)
2008-09 All-Defensive (2nd)
2008-09 All-NBA (2nd)
2009-10 All-Defensive (2nd)
2009-10 All-NBA (3rd)
2012-13 All-Defensive (2nd)
2012-13 All-NBA (1st)
2014-15 All-Defensive (2nd)
2014-15 All-NBA (3rd)
