Rebounds Per Game
1997-98 NBA 11.9 (3rd)
1998-99 NBA 11.4 (5th)
1999-00 NBA 12.4 (3rd)
2000-01 NBA 12.2 (4th)
2001-02 NBA 12.7 (2nd)
2002-03 NBA 12.9 (3rd)
2003-04 NBA 12.4 (2nd)
2005-06 NBA 11.0 (5th)
2006-07 NBA 10.6 (7th)
2007-08 NBA 11.3 (4th)
2008-09 NBA 10.7 (4th)
2009-10 NBA 10.1 (8th)
Career NBA 10.8 (28th)
Career 10.8 (37th)
