Awards
1997-98 Rookie of the Year
1997-98 Sporting News Rookie of the Year
1999 Finals Most Valuable Player
2000 All-Star Game Most Valuable Player
2001-02 Most Valuable Player
2001-02 Sporting News MVP
2003 Finals Most Valuable Player
2002-03 Most Valuable Player
2002-03 Sporting News MVP
2005 Finals Most Valuable Player
2014-15 Teammate of the Year
