Field Goal Pct
1997-98 NBA .549 (4th)
1998-99 NBA .495 (10th)
2001-02 NBA .508 (9th)
2002-03 NBA .513 (7th)
2003-04 NBA .501 (10th)
2006-07 NBA .546 (9th)
Career NBA .506 (100th)
