Player Efficiency Rating
1997-98 NBA 22.6 (5th)
1998-99 NBA 23.2 (7th)
1999-00 NBA 24.8 (4th)
2000-01 NBA 23.8 (9th)
2001-02 NBA 27.0 (2nd)
2002-03 NBA 26.9 (3rd)
2003-04 NBA 27.1 (2nd)
2004-05 NBA 27.0 (2nd)
2006-07 NBA 26.1 (4th)
2007-08 NBA 24.4 (6th)
2008-09 NBA 24.4 (5th)
2009-10 NBA 24.7 (5th)
2012-13 NBA 24.4 (6th)
Career NBA 24.2 (13th)
Career 24.2 (13th)
