Defensive Rebound Pct
1997-98 NBA 23.8 (10th)
1999-00 NBA 24.8 (10th)
2000-01 NBA 25.1 (9th)
2001-02 NBA 25.9 (4th)
2002-03 NBA 27.3 (3rd)
2003-04 NBA 27.6 (2nd)
2004-05 NBA 28.2 (4th)
2005-06 NBA 26.9 (5th)
2006-07 NBA 27.0 (8th)
2007-08 NBA 28.3 (5th)
2008-09 NBA 27.9 (6th)
2009-10 NBA 26.8 (9th)
2010-11 NBA 26.8 (10th)
2011-12 NBA 28.2 (3rd)
2012-13 NBA 29.6 (3rd)
2013-14 NBA 28.3 (6th)
2014-15 NBA 26.7 (8th)
Career NBA 26.5 (8th)
Career 26.5 (9th)
