Free Throw Attempts
1998-99 NBA 358 (9th)
1999-00 NBA 603 (7th)
2000-01 NBA 662 (6th)
2001-02 NBA 701 (2nd)
2002-03 NBA 634 (6th)
2003-04 NBA 588 (4th)
Career NBA 8468 (13th)
Career 8468 (14th)
