Defensive Win Shares
1997-98 NBA 7.2 (1st)
1998-99 NBA 4.7 (1st)
1999-00 NBA 6.4 (3rd)
2000-01 NBA 7.1 (1st)
2001-02 NBA 7.1 (2nd)
2002-03 NBA 6.9 (2nd)
2003-04 NBA 7.2 (3rd)
2004-05 NBA 5.7 (3rd)
2005-06 NBA 6.9 (1st)
2006-07 NBA 6.8 (1st)
2007-08 NBA 6.2 (3rd)
2008-09 NBA 5.0 (4th)
2012-13 NBA 4.9 (4th)
2013-14 NBA 4.6 (9th)
2014-15 NBA 4.7 (4th)
Career NBA 106.3 (2nd)
Career 106.3 (2nd)
