Value Over Replacement Player
1997-98 NBA 6.0 (3rd)
1998-99 NBA 3.4 (8th)
1999-00 NBA 5.9 (5th)
2000-01 NBA 5.9 (6th)
2001-02 NBA 8.1 (1st)
2002-03 NBA 7.6 (3rd)
2003-04 NBA 5.9 (3rd)
2006-07 NBA 6.3 (2nd)
2009-10 NBA 4.7 (6th)
Career NBA 89.3 (6th)
Career 89.3 (6th)
