Points Per Game
1998-99 NBA 21.7 (6th)
1999-00 NBA 23.2 (9th)
2001-02 NBA 25.5 (5th)
2002-03 NBA 23.3 (7th)
2003-04 NBA 22.3 (8th)
Career NBA 19.0 (75th)
Career 19.0 (82nd)
