2-Pt Field Goals
1997-98 NBA 706 (3rd)
1998-99 NBA 417 (2nd)
2000-01 NBA 695 (5th)
2001-02 NBA 763 (1st)
2002-03 NBA 708 (4th)
2003-04 NBA 590 (4th)
2006-07 NBA 617 (8th)
2007-08 NBA 585 (10th)
Career NBA 10255 (11th)
Career 10255 (14th)
