MVP Award Shares
1997-98 NBA 0.128 (5)
1998-99 NBA 0.627 (3)
1999-00 NBA 0.205 (5)
2000-01 NBA 0.569 (2)
2001-02 NBA 0.757 (1)
2002-03 NBA 0.808 (1)
2003-04 NBA 0.582 (2)
2004-05 NBA 0.258 (4)
2005-06 NBA 0.026 (8)
2006-07 NBA 0.222 (4)
2007-08 NBA 0.020 (7)
2008-09 NBA 0.002 (11)
2011-12 NBA 0.002 (14)
2012-13 NBA 0.054 (7)
2013-14 NBA 0.017 (12)
2014-15 NBA 0.001 (12)
Career 4.278 (9)
