Total Rebound Pct
1999-00 NBA 18.1 (9th)
2000-01 NBA 17.8 (8th)
2001-02 NBA 18.0 (3rd)
2002-03 NBA 19.0 (3rd)
2003-04 NBA 19.0 (4th)
2004-05 NBA 19.4 (7th)
2005-06 NBA 18.7 (9th)
2006-07 NBA 18.8 (10th)
2007-08 NBA 19.6 (5th)
2008-09 NBA 18.9 (10th)
2009-10 NBA 18.9 (7th)
2011-12 NBA 18.3 (9th)
2012-13 NBA 19.1 (7th)
2013-14 NBA 18.8 (10th)
Career NBA 18.4 (15th)
Career 18.4 (17th)
