Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,38,0,4.6,0.5,1.2,.391,0.0,0.0,.000,0.5,1.2,.400,.391,0.2,0.3,.692,0.3,0.8,1.2,0.2,0.1,0.1,0.1,0.6,1.2
2 seasons,,SAS,NBA,,20,0,3.9,0.3,0.7,.429,0.0,0.0,,0.3,0.7,.429,.429,0.3,0.4,.625,0.3,0.8,1.1,0.4,0.0,0.0,0.1,0.3,0.9
2 seasons,,IND,NBA,,13,0,6.2,0.7,2.1,.333,0.0,0.1,.000,0.7,2.0,.346,.333,0.0,0.0,,0.3,1.2,1.5,0.1,0.0,0.2,0.2,1.2,1.4
1 season,,POR,NBA,,3,0,5.7,0.7,1.3,.500,0.0,0.0,,0.7,1.3,.500,.500,1.0,1.3,.750,0.7,0.0,0.7,0.0,0.7,1.0,0.3,0.3,2.3
1 season,,LAC,NBA,,2,0,1.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.5,0.5,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
