Player,Sim,1,2,3,4,5,6,7,8,9
Jeff Ayres,,2.4,1.3,1.2,1.0,0.3,0.2,,,
Rory White,87.1,2.6,1.5,1.0,1.0,0.4,,,,
Al Thornton,83.4,2.2,1.6,1.3,1.1,,,,,
George Lee,81.3,2.6,1.7,1.2,0.6,0.4,0.1,-0.1,,
Quincy Acy,80.8,2.5,1.7,1.5,1.1,,,,,
Ike Diogu,78.9,2.6,1.5,1.0,0.7,0.7,0.0,,,
Chris Crawford,78.9,2.7,1.3,0.9,0.6,0.6,0.2,0.1,,
Richard Anderson,78.9,2.3,2.1,1.3,1.0,0.5,0.5,,,
Bob Brannum,78.8,2.0,1.6,1.1,0.8,0.0,,,,
Michael Ruffin,78.6,1.9,1.7,1.2,1.0,0.6,0.2,0.1,0.0,0.0
James Hardy,78.5,2.5,1.8,1.3,0.7,,,,,
