Season,Team,Lg,Salary
2012-13,Toronto Raptors,NBA,"$665,000"
2013-14,Toronto Raptors,NBA,"$788,872"
2014-15,New York Knicks,NBA,"$915,243"
2015-16,Sacramento Kings,NBA,"$981,348"
