Player,Sim,1,2,3,4,5
Chris Johnson,,1.0,0.2,0.2,,
Luke Witte,77.6,1.0,0.1,0.1,,
Jason Collier,75.7,1.2,0.4,0.3,0.0,0.0
Keith Closs,74.9,1.1,0.6,0.2,,
Bernard James,67.3,1.2,0.5,0.1,,
Mike Peplowski,61.3,0.9,0.1,0.0,,
Stojko Vrankovic,60.9,0.9,0.4,0.1,0.0,-0.1
Chris Welp,57.9,0.7,0.3,0.0,,
Wang Zhizhi,57.9,1.5,0.2,0.1,0.1,0.1
Daniel Santiago,54.7,1.2,0.6,0.0,0.0,
Paul Ruffner,54.6,0.9,0.1,0.0,0.0,0.0
