Player,Sim,1,2,3,4,5,6,7,8,9
Trenton Hassell,,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1
Bob Hansen,89.9,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1
Charlie Criss,88.3,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0,
Evan Turner,86.7,4.0,2.5,2.4,2.3,2.1,1.4,,,
Quintin Dailey,85.6,3.7,2.6,2.1,2.0,1.3,1.0,0.3,0.1,-0.3
Daniel Gibson,84.7,4.1,3.8,2.6,2.4,2.0,0.5,0.5,,
Devean George,83.7,4.2,3.4,2.7,2.6,2.1,0.7,0.7,0.3,-0.3
Kevin Ollie,82.7,3.8,2.4,2.4,1.4,1.1,0.9,0.1,0.0,-0.1
Devin Brown,82.7,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1,
Mike McGee,82.1,3.2,3.0,2.8,2.3,1.9,1.1,0.4,0.2,0.2
Jacque Vaughn,82.1,3.5,3.0,2.0,1.8,1.5,0.4,0.1,0.0,-0.4
