Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,595,286,14364,2139,5132,.417,687,1813,.379,1452,3319,.437,.484,898,1120,.802,212,1112,1324,2075,458,38,895,1201,5863
2 seasons,,MIA,NBA,,93,8,1841,233,628,.371,75,249,.301,158,379,.417,.431,108,149,.725,28,135,163,265,70,6,121,193,649
1 season,,MIN,NBA,,82,65,2069,297,703,.422,80,215,.372,217,488,.445,.479,154,184,.837,25,138,163,297,55,7,129,171,828
1 season,,TOR,NBA,,79,79,2925,576,1228,.469,169,382,.442,407,846,.481,.538,283,338,.837,45,217,262,460,72,3,206,214,1604
2 seasons,,HOU,NBA,,60,6,1229,205,517,.397,66,181,.365,139,336,.414,.460,75,97,.773,23,115,138,132,42,4,55,104,551
2 seasons,,WAS,NBA,,57,50,1621,195,509,.383,68,186,.366,127,323,.393,.450,71,88,.807,25,104,129,198,45,6,96,104,529
1 season,,BOS,NBA,,55,55,1684,213,510,.418,86,226,.381,127,284,.447,.502,76,95,.800,20,156,176,244,70,2,83,113,588
1 season,,MIL,NBA,,47,0,1167,205,460,.446,58,152,.382,147,308,.477,.509,67,90,.744,23,99,122,185,40,4,80,114,535
1 season,,DAL,NBA,,45,23,862,101,271,.373,48,125,.384,53,146,.363,.461,23,29,.793,9,63,72,139,26,3,55,95,273
2 seasons,,NOH,NBA,,29,0,257,30,89,.337,10,27,.370,20,62,.323,.393,7,8,.875,4,20,24,14,6,0,10,19,77
1 season,,DET,NBA,,26,0,512,59,147,.401,20,55,.364,39,92,.424,.469,27,32,.844,8,50,58,95,26,1,41,43,165
2 seasons,,CHI,NBA,,22,0,197,25,70,.357,7,15,.467,18,55,.327,.407,7,10,.700,2,15,17,46,6,2,19,31,64
