Rebounds Per Game
2003-04 NBA 10.1 (10th)
2006-07 NBA 11.7 (5th)
2007-08 NBA 13.1 (2nd)
2009-10 NBA 11.8 (2nd)
Career NBA 9.8 (53rd)
Career 9.8 (62nd)
