Blocks Per Game
1996-97 NBA 2.1 (10th)
1997-98 NBA 3.7 (1st)
1999-00 NBA 2.0 (10th)
2003-04 NBA 2.6 (5th)
2004-05 NBA 3.0 (2nd)
2005-06 NBA 3.3 (1st)
2006-07 NBA 3.3 (1st)
2007-08 NBA 3.6 (1st)
2008-09 NBA 2.1 (3rd)
2009-10 NBA 2.0 (5th)
Career NBA 2.4 (14th)
Career 2.4 (14th)
