Defensive Box Plus/Minus
1999-00 NBA 3.4 (10th)
2000-01 NBA 4.1 (5th)
2003-04 NBA 4.9 (3rd)
2004-05 NBA 5.8 (1st)
2005-06 NBA 6.0 (2nd)
2006-07 NBA 6.7 (2nd)
2007-08 NBA 6.6 (1st)
2008-09 NBA 3.7 (4th)
2009-10 NBA 5.5 (1st)
2010-11 NBA 5.2 (1st)
2011-12 NBA 4.9 (1st)
Career NBA 4.6 (3rd)
Career 4.6 (3rd)
