Total Rebound Pct
2000-01 NBA 20.5 (2nd)
2003-04 NBA 19.0 (5th)
2004-05 NBA 18.9 (8th)
2005-06 NBA 21.0 (1st)
2006-07 NBA 19.4 (8th)
2007-08 NBA 20.3 (3rd)
2008-09 NBA 20.7 (4th)
2009-10 NBA 22.2 (1st)
2010-11 NBA 24.1 (1st)
2011-12 NBA 22.8 (1st)
Career NBA 19.2 (8th)
Career 19.2 (10th)
