Offensive Rebound Pct
1999-00 NBA 13.7 (4th)
2009-10 NBA 12.7 (7th)
2010-11 NBA 13.8 (4th)
2011-12 NBA 13.3 (5th)
Career NBA 10.5 (55th)
Career 10.5 (65th)
