Player,Sim,1,2,3,4,5,6,7,8
Brook Lopez,,9.0,7.9,7.0,6.3,6.2,5.8,2.3,0.3
Arvydas Sabonis,88.6,9.7,8.4,7.5,7.1,5.8,4.9,3.7,
Vlade Divac,87.5,9.5,8.3,7.4,7.3,6.1,5.6,5.0,1.8
Tree Rollins,87.4,9.2,7.3,6.4,6.4,5.5,5.0,3.8,2.6
Greg Monroe,87.1,7.5,7.0,6.8,6.6,5.9,5.9,,
Emeka Okafor,86.1,8.2,7.1,6.5,5.8,5.5,4.0,1.7,1.0
Al Jefferson,85.8,7.8,7.7,7.5,6.6,4.9,4.6,2.7,2.3
Jim Eakins,85.2,9.0,8.5,7.6,7.4,7.4,6.6,3.6,2.9
Tom Owens,84.7,10.4,8.3,8.0,6.9,6.0,2.9,2.5,0.9
Marcin Gortat,83.9,8.6,8.1,7.6,6.4,3.4,3.4,3.3,0.1
Andrew Bynum,83.9,8.0,7.8,6.6,5.5,4.8,4.2,0.4,0.1
