Blocks Per Game
2008-09 NBA 1.8 (9th)
2009-10 NBA 1.7 (9th)
2012-13 NBA 2.1 (7th)
2014-15 NBA 1.8 (10th)
2015-16 NBA 1.7 (9th)
Active 1.7 (7th)
Career NBA 1.7 (35th)
Career 1.7 (36th)
