Season,Team,Lg,Salary
2008-09,Phoenix Suns,NBA,"$1,623,720"
2009-10,Phoenix Suns,NBA,"$1,745,520"
2010-11,Phoenix Suns,NBA,"$1,867,320"
2011-12,Phoenix Suns,NBA,"$2,862,602"
2012-13,New Orleans Hornets,NBA,"$4,899,293"
2013-14,Portland Trail Blazers,NBA,"$5,904,261"
2014-15,Portland Trail Blazers,NBA,"$6,124,728"
2015-16,New York Knicks,NBA,"$13,000,000"
