Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21,PHO,NBA,C,6,6,104,19,35,.543,0,0,,19,35,.543,.543,9,9,1.000,12,12,24,0,2,1,3,11,47
2013-14,25,POR,NBA,C,11,11,367,43,88,.489,0,0,,43,88,.489,.489,24,36,.667,47,54,101,9,6,20,11,40,110
2014-15,26,POR,NBA,C,5,5,117,9,15,.600,0,0,,9,15,.600,.600,8,8,1.000,9,13,22,3,1,5,5,15,26
