Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Robin Lopez,,9.5,5.8,5.6,5.1,3.2,2.1,1.5,1.1,,,,
Stan Miasek,87.0,10.3,5.8,5.5,4.1,3.5,2.1,,,,,,
Elmore Smith,87.0,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,,,,
Darrall Imhoff,85.4,8.2,5.9,5.0,4.9,2.4,2.1,0.9,0.7,0.7,0.0,-0.2,-0.6
George Ratkovicz,84.1,9.3,6.0,5.4,5.2,2.8,-0.1,,,,,,
Tom Boerwinkle,83.2,9.0,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2,,
Ray Felix,81.6,8.6,7.2,5.8,5.5,5.5,2.3,2.0,1.8,0.8,,,
Steve Stipanovich,80.8,9.0,6.9,5.9,5.0,3.6,,,,,,,
Neal Walk,79.8,7.1,6.8,6.1,5.1,2.1,1.7,1.2,0.2,,,,
DeMarcus Cousins,79.4,7.9,6.0,5.7,4.4,4.2,1.1,,,,,,
Joe Barry Carroll,78.9,7.0,5.7,5.5,4.7,4.6,3.4,2.3,1.6,0.7,0.0,,
