Player,Sim,1,2,3,4,5,6,7,8
Robin Lopez,,9.5,5.8,5.6,5.1,3.2,2.1,1.5,1.1
Marcus Camby,88.5,10.3,6.9,5.9,3.7,3.5,2.1,1.5,0.9
Danny Schayes,87.8,8.8,5.6,4.6,3.9,2.8,2.0,1.7,1.2
Elmore Smith,87.0,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3
Stan Miasek,87.0,10.3,5.8,5.5,4.1,3.5,2.1,,
Mike Gminski,86.1,9.2,6.5,6.1,5.4,4.3,4.0,1.8,1.5
Tom Boerwinkle,85.6,9.0,7.4,6.3,4.4,3.8,2.6,1.7,0.5
Andrew Bogut,85.4,7.5,5.5,5.4,4.8,4.0,2.6,1.7,0.5
Wayne Embry,84.5,6.7,6.3,5.6,4.5,3.4,2.0,1.9,1.5
Ray Felix,84.3,8.6,7.2,5.8,5.5,5.5,2.0,1.8,0.8
George Ratkovicz,84.1,9.3,6.0,5.4,5.2,2.8,-0.1,,
