Player,Sim,1,2,3
Victor Claver,,0.2,0.1,-0.1
Jacky Dorsey,73.9,0.2,0.2,-0.1
Mouhamed Sene,72.3,0.2,0.2,0.0
Jackie Robinson,64.9,0.2,0.1,0.0
Alando Tucker,43.9,0.2,0.1,0.0
Doug Edwards,39.2,0.2,0.1,0.0
Easy Parham,34.4,0.3,0.1,0.0
David Vaughn,26.8,0.4,0.1,-0.1
Scooter McCray,24.1,0.3,0.1,0.0
Brian Cardinal,19.4,0.2,0.0,0.0
Acie Earl,18.7,0.3,0.2,-0.2
