Steals Per Game
2004-05 NBA 1.7 (9th)
2005-06 NBA 2.5 (1st)
2006-07 NBA 2.0 (4th)
2007-08 NBA 2.1 (5th)
2008-09 NBA 1.7 (6th)
Career NBA 1.4 (92nd)
Career 1.4 (96th)
