Player,Sim,1,2,3,4,5,6
Lance Stephenson,,7.4,5.5,2.2,-0.2,-0.3,-0.9
Buddy Jeannette,81.0,8.2,4.9,2.6,,,
Jeff McInnis,74.4,6.9,5.1,1.1,0.3,0.2,0.1
Bobby Simmons,74.3,6.8,5.3,2.0,0.9,0.7,0.7
Stephen Chubin,73.9,6.9,4.1,1.7,,,
Brad Davis,73.0,7.3,5.4,4.2,0.6,0.6,0.3
George Lehmann,72.4,7.3,5.9,2.5,2.3,0.7,0.0
Charles Beasley,72.1,8.0,4.1,2.6,0.7,,
Darrell Armstrong,71.3,8.0,6.4,2.5,1.8,0.1,0.1
Anthony Parker,70.4,6.5,6.2,3.4,0.4,0.2,0.0
Rafer Alston,70.3,5.9,5.5,1.2,0.7,0.3,-0.7
