Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Marco Belinelli,,5.9,3.4,3.0,2.9,2.9,1.2,0.5,0.5,0.0,,
Larry Miller,90.2,6.2,3.4,3.2,3.0,2.4,1.3,0.0,,,,
Darwin Cook,86.9,6.0,3.9,3.6,3.0,2.7,1.6,1.2,0.9,,,
Anthony Morrow,86.8,5.7,3.5,3.0,3.0,2.4,1.9,1.7,0.7,,,
Art Williams,84.8,4.4,3.4,3.1,2.8,2.7,1.2,0.1,0.0,,,
Chris Whitney,84.5,6.5,4.0,3.2,2.7,2.3,1.3,1.0,0.6,0.2,-0.2,-0.3
Chico Vaughn,83.4,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,,,
Jrue Holiday,83.2,5.7,4.2,3.4,3.4,3.3,1.5,1.2,,,,
George Senesky,82.7,6.2,4.4,3.6,2.6,2.3,2.0,0.5,0.3,,,
Herm Gilliam,82.5,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,,,
Vincent Askew,82.0,6.0,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,,
