Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Jason Williams,,5.4,4.8,4.7,4.5,4.3,4.3,3.8,2.1,2.1,1.5,0.9,0.2,
Aaron McKie,92.0,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2.0,2.0,1.6,1.4,0.1,0.1
Spud Webb,91.3,5.4,5.1,5.1,4.5,4.1,3.9,3.5,3.0,2.3,2.2,1.2,-0.1,
Jarrett Jack,88.8,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9,,
Johnny Davis,88.4,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3.0,2.5,1.7,,,
Greg Anthony,88.0,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,,
Luke Ridnour,86.6,6.2,5.4,4.4,4.3,4.0,3.4,3.3,2.3,1.2,0.9,0.6,0.1,
Al Attles,86.4,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8,0.4,,
John Paxson,85.2,6.0,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6,,
Sherman Douglas,85.0,5.4,4.6,4.4,4.2,4.0,3.3,2.7,2.6,1.0,0.6,0.2,-0.1,
Chris Ford,84.6,5.6,4.7,4.3,3.7,3.6,3.5,2.8,2.7,2.5,2.1,,,
