3-Pt Field Goal Attempts
1998-99 NBA 323 (2nd)
1999-00 NBA 505 (2nd)
2001-02 NBA 430 (7th)
2002-03 NBA 404 (9th)
Career NBA 3784 (33rd)
Career 3784 (33rd)
