Defensive Rebound Pct
2013-14 NBA 29.3 (4th)
2014-15 NBA 32.4 (1st)
2015-16 NBA 32.7 (2nd)
2016-17 NBA 34.6 (2nd)
Active 27.8 (3rd)
Career NBA 27.8 (6th)
Career 27.8 (7th)
