2-Pt Field Goal Pct
2012-13 NBA .643 (1st)
2013-14 NBA .676 (1st)
2014-15 NBA .713 (1st)
2015-16 NBA .704 (1st)
2016-17 NBA .700 (1st)
Active .674 (1st)
Career NBA .674 (1st)
Career .674 (1st)
